Source_genome,Source_chromosome,Chunk_size,Chunk_id,NZ_CP038663.1|1Deinococcus_radiodurans,NZ_CP038664.1|1Deinococcus_radiodurans,NZ_CP038665.1|1Deinococcus_radiodurans,NZ_CP038666.1|1Deinococcus_radiodurans,U00096.3|Escherichia_coli_ASM584v2,CP035288.1|GCA_006094375.1_ASM609437v1_genomic,CP035289.1|GCA_006094375.1_ASM609437v1_genomic,CP035290.1|GCA_006094375.1_ASM609437v1_genomic,NZ_CP055055.1|GCF_022354085.1_ASM2235408v1_genomic,NZ_CP055056.1|GCF_022354085.1_ASM2235408v1_genomic
1Deinococcus_radiodurans,NZ_CP038665.1,100,0,-497.65583636821384,-1456.8821788849073,-419.2871650234964,-527.3021733003234,-793.254555406483,-4786.618675961407,-inf,-inf,-696.4413360718797,-1229.2915567114244
1Deinococcus_radiodurans,NZ_CP038665.1,100,1,-1066.271088377845,-1583.114737426702,-500.91528851678083,-566.8766939323554,-742.0545750878862,-6636.134280775027,-inf,-inf,-1343.4713420955854,-558.5570434897672
1Deinococcus_radiodurans,NZ_CP038665.1,100,2,-693.8651054052501,-884.1415003483091,-457.1303584738921,-955.7430042962102,-758.592075726714,-2132.3190238017482,-inf,-inf,-646.9575831861805,-1630.9299640911447
1Deinococcus_radiodurans,NZ_CP038665.1,100,3,-867.1536890813883,-311.57304145284957,-381.59508692560735,-721.4961526856401,-658.6896048543649,-1040.7598400224913,-16321.458789823628,-inf,-741.9099328476266,-1446.5859669624847
1Deinococcus_radiodurans,NZ_CP038665.1,100,4,-612.0468693811972,-717.6272045759126,-575.5105028860345,-752.1964755667731,-798.2472543539611,-1988.5562514963246,-inf,-inf,-632.8476361005596,-409.63224806756165
1Deinococcus_radiodurans,NZ_CP038665.1,100,5,-2291.6720542620915,-1009.9102133417346,-1165.9049022842973,-620.1579701994855,-478.72847247947044,-1597.0900860470406,-inf,-inf,-733.8157211883229,-440.25612688963537
1Deinococcus_radiodurans,NZ_CP038665.1,100,6,-946.9304196979692,-774.5748513770059,-1091.621584232085,-816.9847712907739,-623.3658622823739,-inf,-inf,-inf,-1028.3131464574426,-885.8572742246074
1Deinococcus_radiodurans,NZ_CP038665.1,100,7,-703.720780002275,-596.4098455248759,-576.9430379179645,-1767.3592885094654,-614.1550964918181,-inf,-inf,-inf,-1730.501298266805,-1023.756951846512
1Deinococcus_radiodurans,NZ_CP038665.1,100,8,-2656.659690894313,-1247.456666442147,-1188.3979723393036,-1178.9623393966895,-387.8959271602589,-1486.8614090433045,-1700.424162211796,-27884.34051192316,-381.44828015442374,-573.6625912296986
1Deinococcus_radiodurans,NZ_CP038665.1,100,9,-454.0631988623085,-480.2503991913962,-677.7847856738282,-333.4323445222243,-431.4195471474127,-2870.2439594020466,-inf,-inf,-464.8157885327393,-862.7469606615755
1Deinococcus_radiodurans,NZ_CP038665.1,100,10,-554.3591221293384,-901.0017693562684,-871.9679419813644,-565.9438203719778,-770.1883125699385,-1302.2566555516441,-7339.6957555688805,-inf,-865.2494872429183,-670.2483022007555
1Deinococcus_radiodurans,NZ_CP038665.1,100,11,-951.8259701273922,-411.4580936591974,-855.7703746850856,-544.9996317493147,-769.7253869122821,-3950.4022378634945,-inf,-inf,-914.0286309256201,-499.797950897642
1Deinococcus_radiodurans,NZ_CP038665.1,100,12,-2094.522126020551,-1168.3878801762153,-1151.1698315780247,-1686.1854740204265,-1989.6941298222805,-1230.1347239965064,-7518.0512181497115,-27859.442414133613,-1176.3089626265407,-1241.0220547410083
1Deinococcus_radiodurans,NZ_CP038665.1,100,13,-658.2319772883077,-1277.4955049845241,-452.00977914718317,-864.2223415743855,-428.761590035638,-2151.617443446667,-inf,-inf,-602.2355265745762,-836.2678257285106
1Deinococcus_radiodurans,NZ_CP038665.1,100,14,-760.2903260592346,-641.2482742447833,-419.71893564902246,-2184.9298850013633,-545.3848457159029,-inf,-25028.91848601994,-inf,-837.8109684426859,-1236.7013689366797
1Deinococcus_radiodurans,NZ_CP038665.1,100,15,-1930.962454043642,-665.7206566589998,-274.56528962103334,-980.6644971049986,-1073.1907821368302,-13176.773008162432,-23025.464867164235,-inf,-1131.8712155771866,-1427.6929442549347
1Deinococcus_radiodurans,NZ_CP038665.1,100,16,-2549.796166027792,-1356.8066867476907,-957.9065621109281,-573.4798936574945,-1446.7560905522864,-2129.259889025658,-5952.141233086543,-14254.074478094104,-612.594241314272,-1045.4468703456907
1Deinococcus_radiodurans,NZ_CP038665.1,100,17,-1136.8252308160063,-1373.4041147154558,-334.9007127775146,-1590.9286255719985,-2102.5519487592346,-2275.7648288275764,-6466.2996710330235,-inf,-777.5838693741439,-1538.0875637880836
1Deinococcus_radiodurans,NZ_CP038665.1,100,18,-813.9783038179158,-340.51781390555743,-814.8439842696697,-878.6873576825543,-508.5219232649991,-inf,-12982.59111033824,-inf,-836.7848105866467,-1337.708709888121
1Deinococcus_radiodurans,NZ_CP038665.1,100,19,-688.8562542849323,-736.8527920656802,-278.8470399598166,-1121.1886853685805,-830.6465034719442,-inf,-11570.805715792305,-inf,-890.9652019584037,-476.4717685141601
1Deinococcus_radiodurans,NZ_CP038665.1,100,20,-464.25687049392894,-320.3024352921985,-732.1904951156273,-749.0441853481486,-996.9390947811248,-4946.560549531504,-inf,-inf,-588.563413281265,-1122.040633257725
1Deinococcus_radiodurans,NZ_CP038665.1,100,21,-521.8063167620121,-506.0532043131697,-390.5150741207151,-653.6490605411889,-398.09305432246157,-inf,-26084.174839025054,-inf,-638.8763556183471,-751.2785358226342
1Deinococcus_radiodurans,NZ_CP038665.1,100,22,-1241.475071155155,-559.2850923078429,-864.9687014517388,-880.647041529768,-836.8151934762227,-3363.4634337179095,-13124.572416356132,-inf,-1696.1582022286052,-873.570855824094
1Deinococcus_radiodurans,NZ_CP038665.1,100,23,-399.0339513245382,-380.3045885169595,-373.78079178277176,-655.9613102258209,-487.2455787982688,-inf,-inf,-inf,-633.0195933522589,-1102.5169035249035
1Deinococcus_radiodurans,NZ_CP038665.1,100,24,-1684.1156387804176,-1255.0589114685895,-770.0914640061701,-943.8511722586398,-541.2425488016706,-3115.715851415417,-inf,-inf,-596.8144739006193,-818.7229400433009
1Deinococcus_radiodurans,NZ_CP038665.1,100,25,-801.2362743181965,-446.67203853159486,-424.17349338985355,-746.724414297282,-888.8142987623935,-4154.264562807339,-10481.95984358793,-inf,-864.0630063907918,-783.255081070588
1Deinococcus_radiodurans,NZ_CP038665.1,100,26,-3128.3379590377103,-1230.916131952947,-1426.534168151452,-1718.945819401332,-735.6057221667822,-787.3828150108468,-3223.9722771814786,-inf,-661.1357455798207,-1422.9250422576083
1Deinococcus_radiodurans,NZ_CP038665.1,100,27,-630.1322624564098,-405.38938942700815,-1158.4532808505503,-561.6120858185534,-1272.8868523886981,-1661.1240836009385,-inf,-inf,-1055.4055580417034,-754.3447025570185
1Deinococcus_radiodurans,NZ_CP038665.1,100,28,-593.133267640978,-272.2455931900923,-486.0376562446455,-1219.594339308402,-704.7385253929983,-4364.5335764602205,-inf,-inf,-570.0801656742128,-1110.2164482422972
1Deinococcus_radiodurans,NZ_CP038665.1,100,29,-1003.7502565722795,-488.4917857053172,-727.1660994513574,-1692.9345140643588,-1626.4210447528096,-8054.164894770915,-inf,-inf,-653.6158810146412,-1251.4965494999053
1Deinococcus_radiodurans,NZ_CP038665.1,100,30,-717.5812484124135,-270.5590881147525,-432.39389114750315,-1477.1440852796416,-442.54792527810406,-26015.168572043065,-inf,-inf,-1229.6732390329305,-885.1044632684607
1Deinococcus_radiodurans,NZ_CP038665.1,100,31,-784.0907616089523,-789.0820908688681,-919.8694631275181,-2658.938734552093,-926.2293145608592,-1075.3344478913302,-inf,-inf,-708.022508870559,-689.4075699778816
1Deinococcus_radiodurans,NZ_CP038665.1,100,32,-216.18398609707526,-344.3021612311094,-802.3836082683978,-2012.9533958376835,-807.7371847387301,-inf,-inf,-inf,-390.17033640804146,-820.6355484544176
1Deinococcus_radiodurans,NZ_CP038665.1,100,33,-2517.9902085866383,-inf,-1105.8180622043478,-652.6500361677129,-862.1315894785405,-2306.0196883357553,-inf,-inf,-1321.6600862417772,-687.8589354325093
1Deinococcus_radiodurans,NZ_CP038665.1,100,34,-1720.1506155030575,-2606.425922997451,-2561.488859997821,-434.35517188081747,-1611.1599010533337,-1355.626344595786,-inf,-19384.279028756635,-868.3950824303183,-711.1862493461631
1Deinococcus_radiodurans,NZ_CP038665.1,100,35,-719.0355129608964,-413.932202451399,-364.85288617735523,-629.2888831610804,-770.0257434752405,-1492.0196773163384,-7970.8543007982025,-inf,-1586.7583263339607,-2462.8616260878516
1Deinococcus_radiodurans,NZ_CP038665.1,100,36,-1782.3335109254435,-723.5443757545784,-477.97233294892044,-564.6008081866025,-1175.0485722445235,-3944.786478204663,-inf,-inf,-513.0409259772289,-910.9526076690529
1Deinococcus_radiodurans,NZ_CP038665.1,100,37,-631.6934108356719,-667.291774622385,-519.0275214059794,-1919.2674321011305,-465.94028223546013,-3678.3541538283175,-inf,-inf,-1189.2602053780652,-660.7579522001986
1Deinococcus_radiodurans,NZ_CP038665.1,100,38,-537.3912413307731,-598.9272800232354,-456.7506011659518,-1114.3101486269932,-1400.032119156695,-6321.954249152256,-inf,-inf,-606.8542811057087,-1301.2461219399036
1Deinococcus_radiodurans,NZ_CP038665.1,100,39,-1094.0653258853577,-1454.160534868689,-578.0600325752641,-613.0897039765673,-2558.822329273193,-3270.2986400997393,-inf,-inf,-1361.9811357299432,-1270.6670286416772
1Deinococcus_radiodurans,NZ_CP038665.1,100,40,-711.3686013685746,-1390.7783691045202,-402.1967751801658,-701.32737605829,-903.0793916690141,-3015.874279082643,-13084.594636670492,-13960.868893075183,-914.5153866390667,-860.2484997030947
1Deinococcus_radiodurans,NZ_CP038665.1,100,41,-1972.1199526380801,-998.9986234331568,-1104.9931375167687,-414.5292962791957,-595.4030580041144,-1475.8851441348884,-inf,-inf,-702.1263996825262,-613.2928260058268
1Deinococcus_radiodurans,NZ_CP038665.1,100,42,-494.63657720524395,-291.4703519058426,-392.32887735489214,-1631.9332863509155,-947.5487917154865,-inf,-15429.14082979019,-inf,-740.146928806575,-1408.5857080131734
1Deinococcus_radiodurans,NZ_CP038665.1,100,43,-769.5348335263941,-413.7650108462715,-429.04990251210893,-466.08736603774435,-463.6130986271843,-3456.605254362058,-inf,-inf,-604.6004320806753,-736.2407689371969
1Deinococcus_radiodurans,NZ_CP038665.1,100,44,-928.7498770405905,-444.3693434938596,-716.6285093357086,-820.3142132724619,-491.14461084816384,-4219.691390731309,-10465.744563947548,-inf,-844.7090870876098,-649.543930813579
1Deinococcus_radiodurans,NZ_CP038665.1,100,45,-936.5445120271664,-1337.296930661568,-787.6489336508399,-1167.5214359692757,-768.2107091975479,-2918.878037873407,-inf,-inf,-1027.2017985066686,-1435.218605113369
1Deinococcus_radiodurans,NZ_CP038665.1,100,46,-1688.449874541916,-1755.3043092994094,-817.0967089890567,-806.9317716726893,-698.694018739752,-893.9520883534567,-2448.0905303259783,-9188.900432262273,-309.5161708359591,-547.4936579556336
1Deinococcus_radiodurans,NZ_CP038665.1,100,47,-506.794833848242,-911.5413367213027,-455.37600010138385,-951.7848047477905,-1425.7655223635493,-11248.013292949603,-inf,-inf,-2577.2942875265053,-1329.7672333880184
1Deinococcus_radiodurans,NZ_CP038665.1,100,48,-1372.333377218828,-450.2872753150875,-250.94382195178193,-275.17850522700087,-847.4661989870774,-1761.2403289667725,-4350.2705219343825,-10382.916641422245,-1248.2881596826683,-606.697685022813
1Deinococcus_radiodurans,NZ_CP038665.1,100,49,-897.3014476354482,-556.7406983904345,-413.59512077341185,-460.1741801645222,-1826.2810674988114,-2296.0978545979324,-3897.309744873814,-17912.68025763908,-1452.5264966524508,-967.743527957407
1Deinococcus_radiodurans,NZ_CP038665.1,100,50,-508.9485931806046,-330.50926589863644,-447.8675355837331,-1464.404815063593,-555.1596746889581,-9058.912086160715,-inf,-inf,-1053.6439148162185,-1630.8985893408296
1Deinococcus_radiodurans,NZ_CP038665.1,100,51,-11498.455343108728,-1967.2297462712174,-1664.8474504026526,-1360.2934687418194,-1029.2935225861743,-650.808188080764,-1137.4556909902672,-inf,-1399.4738041527305,-574.0744626003952
1Deinococcus_radiodurans,NZ_CP038665.1,100,52,-2030.6175821743482,-2347.5023396488173,-1157.585610455132,-2541.2876304652145,-615.6094957876794,-1033.0986169127455,-inf,-inf,-753.0498758321264,-357.81692960360414
1Deinococcus_radiodurans,NZ_CP038665.1,100,53,-506.794833848242,-911.5413367213027,-455.37600010138385,-951.7848047477905,-1425.7655223635493,-11248.013292949603,-inf,-inf,-2577.2942875265053,-1329.7672333880184
1Deinococcus_radiodurans,NZ_CP038665.1,100,54,-2068.477062184487,-1606.8708021937796,-877.0002017564158,-883.7583390793552,-1214.7482993523602,-2779.3795742614693,-inf,-inf,-1101.3244955668026,-865.8805039438635
1Deinococcus_radiodurans,NZ_CP038665.1,100,55,-932.6199174134998,-451.0888058626596,-632.2040002156039,-1316.5651009383012,-1282.582677087692,-4992.8895754837,-7033.988555909461,-inf,-1043.1519082724176,-931.124272832441
